doc_id,domain,year,dominant_topic,max_prob
8631161,patent,2009,9,0.6533
8640089,patent,2012,9,0.8607
8645529,patent,2010,9,0.9146
8659286,patent,2011,5,0.5318
8706452,patent,2009,1,0.3667
8725665,patent,2012,9,0.4855
8731724,patent,2011,4,0.7508
8786189,patent,2011,5,0.6417
8805579,patent,2011,5,0.9477
8807823,patent,2010,4,0.2536
8812156,patent,2010,5,0.3656
8831784,patent,2011,4,0.4451
8866606,patent,2013,0,0.4699
8880241,patent,2013,5,0.9393
8892347,patent,2013,1,0.2675
8924018,patent,2009,11,0.2283
8924936,patent,2013,8,0.5301
8943892,patent,2012,5,0.5214
8949042,patent,2014,11,0.2618
8950540,patent,2012,7,0.4344
8950931,patent,2014,4,0.3518
9014415,patent,2011,8,0.2929
9019117,patent,2012,13,0.5177
9069763,patent,2012,9,0.8393
9070216,patent,2012,0,0.6263
9094816,patent,2014,9,0.43
9162753,patent,2013,5,0.5597
9164512,patent,2009,1,0.72
9176844,patent,2014,8,0.5176
9245436,patent,2014,13,0.5409
9266625,patent,2013,5,0.6399
9277632,patent,2014,5,0.6515
9302301,patent,2006,5,0.4951
9361598,patent,2014,9,0.5848
9413155,patent,2014,2,0.5983
9430318,patent,2014,9,0.7861
9440317,patent,2013,2,0.6655
9442821,patent,2015,9,0.5723
9466203,patent,2013,13,0.6852
9467500,patent,2013,9,0.8945
9494940,patent,2015,5,0.7659
9508243,patent,2015,13,0.8936
9537954,patent,2015,13,0.8901
9546054,patent,2014,5,0.2453
9547977,patent,2016,0,0.9895
9550312,patent,2013,13,0.9986
9569061,patent,2013,9,0.5426
9575491,patent,2015,0,0.5202
9623554,patent,2015,10,0.3736
9639413,patent,2014,4,0.8082
9652985,patent,2015,7,0.3841
9697724,patent,2011,5,0.6913
9720411,patent,2014,7,0.4647
9736699,patent,2015,5,0.3071
9746444,patent,2014,0,0.3587
9753838,patent,2016,8,0.5249
9767685,patent,2017,5,0.7435
9784599,patent,2012,5,0.3586
9789628,patent,2014,13,0.998
9800667,patent,2016,9,0.8803
9802661,patent,2016,5,0.85
9823658,patent,2016,0,0.3655
9898558,patent,2017,0,0.4958
9906413,patent,2014,9,0.5361
9921068,patent,2017,5,0.3741
9928730,patent,2017,5,0.6952
9940222,patent,2015,9,0.5889
9961572,patent,2016,9,0.43
9964948,patent,2017,7,0.6828
9965965,patent,2017,0,0.2445
9990836,patent,2017,0,0.9964
9995086,patent,2014,11,0.7263
10044563,patent,2015,13,0.9429
10081366,patent,2016,7,0.4255
10100541,patent,2017,4,0.7092
10140786,patent,2016,13,0.9509
10146892,patent,2018,0,0.5104
10162698,patent,2016,13,0.6481
10168287,patent,2015,1,0.4702
10169444,patent,2016,9,0.9498
10181161,patent,2015,7,0.8138
10217207,patent,2017,8,0.5398
10225005,patent,2018,5,0.8872
10228278,patent,2013,13,0.3764
10259514,patent,2017,5,0.918
10303443,patent,2017,9,0.476
10315740,patent,2014,12,0.4314
10324223,patent,2015,7,0.5684
10331141,patent,2016,7,0.843
10346745,patent,2013,9,0.5311
10346747,patent,2013,9,0.5143
10353694,patent,2018,7,0.8142
10354501,patent,2016,5,0.7748
10363684,patent,2016,13,0.999
10372143,patent,2018,7,0.3936
10372591,patent,2016,10,0.4747
10380498,patent,2015,9,0.5924
10444256,patent,2015,5,0.5917
10451294,patent,2015,4,0.7227
10497250,patent,2018,9,0.329
10516351,patent,2016,5,0.8627
10521973,patent,2015,9,0.5603
10534337,patent,2017,9,0.7788
10547507,patent,2018,13,0.9604
10558226,patent,2016,5,0.4704
10571283,patent,2017,12,0.6424
10573168,patent,2018,7,0.9692
10574559,patent,2016,9,0.9006
10574683,patent,2019,9,0.7374
10580310,patent,2017,5,0.389
10581851,patent,2019,2,0.9329
10584971,patent,2016,0,0.8535
10589740,patent,2018,2,0.5114
10602383,patent,2018,9,0.9317
